algorithm,hit_rate,miss_rate,read_percentage,write_percentage,read_io,write_io,total_time,skew,perct_data
0,840547,159453,10,90,15811,143642,5.18837,80,20
0,931699,68301,10,90,6763,61538,2.22822,90,10
0,967071,32929,10,90,3252,29677,1.03322,95,5
0,399395,600605,10,90,59711,540894,22.4677,100,100
0,840477,159523,30,70,47627,111896,6.26495,80,20
0,931551,68449,30,70,20509,47940,2.67902,90,10
0,967128,32872,30,70,9836,23036,1.34351,95,5
0,398529,601471,30,70,180885,420586,24.5654,100,100
0,840684,159316,50,50,79502,79814,6.57446,80,20
0,931742,68258,50,50,33981,34277,2.65712,90,10
0,967343,32657,50,50,16203,16454,1.18837,95,5
0,398405,601595,50,50,300053,301542,24.7468,100,100
0,839868,160132,70,30,112048,48084,6.62522,80,20
0,931591,68409,70,30,47704,20705,2.6622,90,10
0,967165,32835,70,30,22941,9894,1.17662,95,5
0,398880,601120,70,30,420553,180567,24.906,100,100
0,840859,159141,90,10,143118,16023,6.29417,80,20
0,931853,68147,90,10,61296,6851,2.59329,90,10
0,967405,32595,90,10,29310,3285,1.16212,95,5
0,399157,600843,90,10,540620,60223,24.1113,100,100
1,825079,174921,10,90,17255,157666,1160.98,80,20
1,931764,68236,10,90,6780,61456,437.131,90,10
1,967118,32882,10,90,3238,29644,195.183,95,5
1,399435,600565,10,90,59683,540882,4657.32,100,100
1,754779,245221,30,70,73284,171937,1581.07,80,20
1,931433,68567,30,70,20497,48070,447.749,90,10
1,967197,32803,30,70,9808,22995,201.05,95,5
1,398725,601275,30,70,180531,420744,4143.84,100,100
1,760066,239934,50,50,119911,120023,1605.7,80,20
1,931799,68201,50,50,33911,34290,444.044,90,10
1,967522,32478,50,50,16043,16435,198.492,95,5
1,398402,601598,50,50,300558,301040,4178.7,100,100
1,770376,229624,70,30,160658,68966,1565.06,80,20
1,931539,68461,70,30,47750,20711,452.932,90,10
1,967112,32888,70,30,22972,9916,200.84,95,5
1,398856,601144,70,30,420597,180547,4291.2,100,100
1,801000,199000,90,10,179008,19992,1818.87,80,20
1,931839,68161,90,10,61343,6818,607.989,90,10
1,967355,32645,90,10,29359,3286,267.69,95,5
1,399181,600819,90,10,540591,60228,4600.31,100,100
2,847377,152623,10,90,15161,137462,0.268573,80,20
2,931633,68367,10,90,6786,61581,0.228501,90,10
2,967217,32783,10,90,3177,29606,0.229452,95,5
2,399005,600995,10,90,59797,541198,1.28277,100,100
2,847254,152746,30,70,45701,107045,0.452528,80,20
2,931898,68102,30,70,20473,47629,0.425816,90,10
2,967180,32820,30,70,9915,22905,0.21995,95,5
2,398362,601638,30,70,181181,420457,1.333,100,100
2,847766,152234,50,50,76008,76226,0.298011,80,20
2,931922,68078,50,50,33866,34212,0.305178,90,10
2,967290,32710,50,50,16297,16413,0.240555,95,5
2,399224,600776,50,50,299722,301054,1.79081,100,100
2,847609,152391,70,30,106634,45757,0.351965,80,20
2,931417,68583,70,30,47823,20760,0.203198,90,10
2,967041,32959,70,30,23080,9879,0.184972,95,5
2,398885,601115,70,30,420244,180871,1.33648,100,100
2,847970,152030,90,10,136758,15272,0.223594,80,20
2,931814,68186,90,10,61317,6869,0.282138,90,10
2,967296,32704,90,10,29433,3271,0.215094,95,5
2,399090,600910,90,10,540688,60222,1.09399,100,100
